threshold,size,dice
0.4,9000,0.6037895498190475
0.4,8000,0.6028491655183918
0.45,8000,0.5992205124524992
0.4,10000,0.5985575417334168
0.45,10000,0.597416146227254
0.45,9000,0.5969734376934832
0.5,8000,0.596397038387376
0.45,11000,0.5962907854676979
0.4,12000,0.5957633445088364
0.4,13000,0.5955690612102198
0.4,11000,0.5949959093898413
0.5,9000,0.5938721255099823
0.45,12000,0.592686990025972
0.4,14000,0.592317428149849
0.5,10000,0.5908638822655399
0.45,13000,0.5902403299201552
0.4,15000,0.5898188068101761
0.55,8000,0.5897454856894627
0.45,14000,0.5884449449820833
0.5,11000,0.5869074782781012
0.55,9000,0.5865197476384081
0.5,12000,0.5844422059073738
0.55,10000,0.5841812363415537
0.5,13000,0.5840921940176715
0.45,15000,0.5838360795971392
0.55,11000,0.5836928386170023
0.55,12000,0.581821799305075
0.6,9000,0.5804484907046606
0.5,14000,0.5802600256032787
0.6,8000,0.5796113814063754
0.6,10000,0.5789200988265185
0.55,14000,0.5789170779819138
0.5,15000,0.5787411554933963
0.55,13000,0.5773311786909223
0.6,11000,0.5761302670602383
0.6,13000,0.5756860910411005
0.55,15000,0.575432973422185
0.6,12000,0.5749834111726763
0.6,15000,0.5738727503019292
0.65,8000,0.5723016469295309
0.65,9000,0.5722911163114781
0.65,11000,0.571838975565697
0.65,10000,0.571663708592123
0.65,12000,0.5713716367665059
0.6,14000,0.5713474745404411
0.7,8000,0.5682660700132032
0.65,13000,0.5680781675491272
0.7,9000,0.5673043655108876
0.65,14000,0.5672344608144702
0.65,15000,0.5643475934776613
0.7,10000,0.5632353924368539
0.7,11000,0.5615484410162024
0.7,12000,0.56018672633575
0.7,13000,0.5595433721083807
0.7,14000,0.5578940851765424
0.7,15000,0.5535089080499772
